timestamp,crazyflie_ActualState_pose_x,crazyflie_ActualState_pose_y,crazyflie_ActualState_pose_z,crazyflie_ActualState_vel_x,crazyflie_ActualState_vel_y,crazyflie_ActualState_vel_z,crazyflie_ActualState_ori_qx,crazyflie_ActualState_ori_qy,crazyflie_ActualState_ori_qz,crazyflie_ActualState_ori_qw,crazyflie_ActualState_ang_vel_x,crazyflie_ActualState_ang_vel_y,crazyflie_ActualState_ang_vel_z,cf_control_control_command_thrust,cf_control_control_command_torque_x,cf_control_control_command_torque_y,cf_control_control_command_torque_z
1781018418407848909,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418410185327,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418431082385,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418433001777,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418474249275,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418474281617,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418474313636,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418490175012,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418503450404,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418521324362,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418523088108,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418543097844,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418555655703,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418561685624,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418564098382,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418583330984,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418584780700,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418617856149,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018418619785933,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018418639251015,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
